colour	fill	x	y	group
#000000	#FFFFFF	150	236.25	8
#000000	#FFFFFF	139.655172413793	236.25	8
#000000	#FFFFFF	153.448275862069	26.25	15
#000000	#FFFFFF	158.620689655172	43.75	15
#000000	#FFFFFF	163.793103448276	26.25	15
#000000	#FFFFFF	153.448275862069	26.25	15
#000000	#FFFFFF	153.448275862069	72.9166666666667	16
#000000	#FFFFFF	158.620689655172	90.4166666666667	16
#000000	#FFFFFF	163.793103448276	72.9166666666667	16
#000000	#FFFFFF	153.448275862069	72.9166666666667	16
#000000	#FFFFFF	153.448275862069	119.583333333333	17
#000000	#FFFFFF	158.620689655172	137.083333333333	17
#000000	#FFFFFF	163.793103448276	119.583333333333	17
#000000	#FFFFFF	153.448275862069	119.583333333333	17
#000000	#FFFFFF	153.448275862069	166.25	18
#000000	#FFFFFF	158.620689655172	183.75	18
#000000	#FFFFFF	163.793103448276	166.25	18
#000000	#FFFFFF	153.448275862069	166.25	18
#000000	#FFFFFF	153.448275862069	212.916666666667	13
#000000	#FFFFFF	158.620689655172	230.416666666667	13
#000000	#FFFFFF	163.793103448276	212.916666666667	13
#000000	#FFFFFF	153.448275862069	212.916666666667	13
#000000	#FFFFFF	153.448275862069	259.583333333333	14
#000000	#FFFFFF	158.620689655172	277.083333333333	14
#000000	#FFFFFF	163.793103448276	259.583333333333	14
#000000	#FFFFFF	153.448275862069	259.583333333333	14
#000000	#FFFFFF	167.241379310345	2.91666666666667	19
#000000	#FFFFFF	172.413793103448	20.4166666666667	19
#000000	#FFFFFF	177.586206896552	2.91666666666667	19
#000000	#FFFFFF	167.241379310345	2.91666666666667	19
#000000	#FFFFFF	167.241379310345	49.5833333333333	22
#000000	#FFFFFF	172.413793103448	67.0833333333333	22
#000000	#FFFFFF	177.586206896552	49.5833333333333	22
#000000	#FFFFFF	167.241379310345	49.5833333333333	22
#000000	#FFFFFF	167.241379310345	96.25	23
#000000	#FFFFFF	172.413793103448	113.75	23
#000000	#FFFFFF	177.586206896552	96.25	23
#000000	#FFFFFF	167.241379310345	96.25	23
#000000	#FFFFFF	167.241379310345	142.916666666667	24
#000000	#FFFFFF	172.413793103448	160.416666666667	24
#000000	#FFFFFF	177.586206896552	142.916666666667	24
#000000	#FFFFFF	167.241379310345	142.916666666667	24
#000000	#FFFFFF	167.241379310345	189.583333333333	25
#000000	#FFFFFF	172.413793103448	207.083333333333	25
#000000	#FFFFFF	177.586206896552	189.583333333333	25
#000000	#FFFFFF	167.241379310345	189.583333333333	25
#000000	#FFFFFF	167.241379310345	236.25	20
#000000	#FFFFFF	172.413793103448	253.75	20
#000000	#FFFFFF	177.586206896552	236.25	20
#000000	#FFFFFF	167.241379310345	236.25	20
#000000	#FFFFFF	167.241379310345	282.916666666667	21
#000000	#FFFFFF	172.413793103448	300.416666666667	21
#000000	#FFFFFF	177.586206896552	282.916666666667	21
#000000	#FFFFFF	167.241379310345	282.916666666667	21
#000000	#FFFFFF	181.034482758621	26.25	29
#000000	#FFFFFF	186.206896551724	43.75	29
#000000	#FFFFFF	191.379310344828	26.25	29
#000000	#FFFFFF	181.034482758621	26.25	29
#000000	#FFFFFF	181.034482758621	72.9166666666667	30
#000000	#FFFFFF	186.206896551724	90.4166666666667	30
#000000	#FFFFFF	191.379310344828	72.9166666666667	30
#000000	#FFFFFF	181.034482758621	72.9166666666667	30
#000000	#FFFFFF	181.034482758621	119.583333333333	31
#000000	#FFFFFF	186.206896551724	137.083333333333	31
#000000	#FFFFFF	191.379310344828	119.583333333333	31
#000000	#FFFFFF	181.034482758621	119.583333333333	31
#000000	#FFFFFF	181.034482758621	166.25	32
#000000	#FFFFFF	186.206896551724	183.75	32
#000000	#FFFFFF	191.379310344828	166.25	32
